file,target,previous_best_prediction,consensus_prediction,consensus_exact,consensus_edit_distance,any_tta_candidate_exact,correct_candidate_count,correct_candidate_views,oracle_prediction,oracle_edit_distance,best_candidate_view,image_width,image_height,aspect_ratio,image_path,copied_image_path
Dieu_0412_p01_01.png,47A812659,47AB12659,47AB12659,False,1,False,0,,47AB12659,1,full_z1.07_up2_adaptive_noise_3way,57,41,1.3902439024390243,d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\other\Dieu_0412_p01_01.png,D:\NEO\LPR\parseq_official_pipeline\outputs\testing\irrecoverable_wrong_images_8pipelines\01_target_47A812659_pred_47AB12659_err_1.png
Hung_0029_p02_02.png,60F177396,60F127396,60F127396,False,1,True,7,unwrap_z0.93_up2_clahe_rl_deblur_bilateral;unwrap_z1.00_up2_train_baseline;unwrap_z1.00_up2_clahe_clip1_tile4;unwrap_z1.00_up2_clahe_rl_deblur_bilateral;unwrap_z1.00_up2_adaptive_noise_3way;unwrap_z0.93_up3_clahe_rl_deblur_bilateral;unwrap_z0.93_up3_adaptive_noise_3way,60F177396,0,unwrap_z1.00_up2_clahe_rl_deblur_bilateral,47,28,1.6785714285714286,d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\other\Hung_0029_p02_02.png,D:\NEO\LPR\parseq_official_pipeline\outputs\testing\irrecoverable_wrong_images_8pipelines\02_target_60F177396_pred_60F127396_err_1.png
Hung_0061_p01_01.png,59A172873,59X172873,59X172873,False,1,False,0,,59X172873,1,unwrap_z1.07_up3_train_baseline,72,46,1.565217391304348,d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\other\Hung_0061_p01_01.png,D:\NEO\LPR\parseq_official_pipeline\outputs\testing\irrecoverable_wrong_images_8pipelines\03_target_59A172873_pred_59X172873_err_1.png
Hung_0158_p01_01.png,74C125159,74C175159,74C175159,False,1,True,18,full_z0.93_up2_train_baseline;full_z0.93_up2_clahe_clip1_tile4;full_z0.93_up2_clahe_rl_deblur_bilateral;full_z0.93_up2_adaptive_noise_3way;unwrap_z0.93_up2_train_baseline;unwrap_z1.00_up2_train_baseline;unwrap_z1.00_up2_clahe_clip1_tile4;unwrap_z1.00_up2_clahe_rl_deblur_bilateral;unwrap_z1.00_up2_adaptive_noise_3way;full_z0.93_up3_train_baseline;full_z0.93_up3_clahe_clip1_tile4;full_z0.93_up3_clahe_rl_deblur_bilateral;full_z0.93_up3_adaptive_noise_3way;unwrap_z0.93_up3_train_baseline;unwrap_z1.00_up3_train_baseline;unwrap_z1.00_up3_clahe_clip1_tile4;unwrap_z1.00_up3_clahe_rl_deblur_bilateral;unwrap_z1.00_up3_adaptive_noise_3way,74C125159,0,unwrap_z1.00_up2_clahe_clip1_tile4,945,744,1.2701612903225807,d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\other\Hung_0158_p01_01.png,D:\NEO\LPR\parseq_official_pipeline\outputs\testing\irrecoverable_wrong_images_8pipelines\04_target_74C125159_pred_74C175159_err_1.png
Hung_0219_p02_02.png,54K31270,54X31270,54X31270,False,1,False,0,,54X31270,1,full_z1.15_up3_train_baseline,58,42,1.380952380952381,d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\other\Hung_0219_p02_02.png,D:\NEO\LPR\parseq_official_pipeline\outputs\testing\irrecoverable_wrong_images_8pipelines\05_target_54K31270_pred_54X31270_err_1.png
Hung_0309_p02_02.png,53X39221,53X59221,53X59221,False,1,False,0,,53X59221,1,unwrap_z1.07_up2_train_baseline,57,37,1.5405405405405406,d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\other\Hung_0309_p02_02.png,D:\NEO\LPR\parseq_official_pipeline\outputs\testing\irrecoverable_wrong_images_8pipelines\06_target_53X39221_pred_53X59221_err_1.png
Hung_0391_p01_01.png,59G316643,59G311643,59G311643,False,1,False,0,,59G311643,1,full_z1.15_up2_clahe_rl_deblur_bilateral,88,54,1.6296296296296295,d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\other\Hung_0391_p01_01.png,D:\NEO\LPR\parseq_official_pipeline\outputs\testing\irrecoverable_wrong_images_8pipelines\07_target_59G316643_pred_59G311643_err_1.png
Hung_0396_p01_01.png,72L90279,77490279,77190279,False,2,False,0,,72490279,1,unwrap_z1.07_up2_train_baseline,39,24,1.625,d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\other\Hung_0396_p01_01.png,D:\NEO\LPR\parseq_official_pipeline\outputs\testing\irrecoverable_wrong_images_8pipelines\08_target_72L90279_pred_77490279_err_2.png
Tgmt_0782_p01_01.png,29U3763,29013763,29U3763,True,0,True,30,full_z1.15_up2_train_baseline;full_z1.15_up2_clahe_clip1_tile4;full_z1.15_up2_clahe_rl_deblur_bilateral;full_z1.15_up2_adaptive_noise_3way;unwrap_z0.93_up2_train_baseline;unwrap_z0.93_up2_clahe_clip1_tile4;unwrap_z0.93_up2_clahe_rl_deblur_bilateral;unwrap_z0.93_up2_adaptive_noise_3way;unwrap_z1.00_up2_train_baseline;unwrap_z1.00_up2_clahe_clip1_tile4;unwrap_z1.00_up2_clahe_rl_deblur_bilateral;unwrap_z1.07_up2_train_baseline;unwrap_z1.07_up2_clahe_clip1_tile4;unwrap_z1.07_up2_clahe_rl_deblur_bilateral;unwrap_z1.07_up2_adaptive_noise_3way;full_z1.15_up3_train_baseline;full_z1.15_up3_clahe_clip1_tile4;full_z1.15_up3_clahe_rl_deblur_bilateral;full_z1.15_up3_adaptive_noise_3way;unwrap_z0.93_up3_train_baseline;unwrap_z0.93_up3_clahe_clip1_tile4;unwrap_z0.93_up3_clahe_rl_deblur_bilateral;unwrap_z0.93_up3_adaptive_noise_3way;unwrap_z1.00_up3_train_baseline;unwrap_z1.00_up3_clahe_clip1_tile4;unwrap_z1.00_up3_clahe_rl_deblur_bilateral;unwrap_z1.07_up3_train_baseline;unwrap_z1.07_up3_clahe_clip1_tile4;unwrap_z1.07_up3_clahe_rl_deblur_bilateral;unwrap_z1.07_up3_adaptive_noise_3way,29U3763,0,unwrap_z0.93_up3_train_baseline,85,64,1.328125,d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\other\Tgmt_0782_p01_01.png,D:\NEO\LPR\parseq_official_pipeline\outputs\testing\irrecoverable_wrong_images_8pipelines\09_target_29U3763_pred_29013763_err_2.png
greenpack_0455_p01_01.png,5390844,53R90844,53R90844,False,1,False,0,,53R90844,1,full_z0.93_up2_adaptive_noise_3way,74,62,1.1935483870967742,d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\other\greenpack_0455_p01_01.png,D:\NEO\LPR\parseq_official_pipeline\outputs\testing\irrecoverable_wrong_images_8pipelines\10_target_5390844_pred_53R90844_err_1.png
greenpack_0459_p01_01.png,59V200884,59V23084,59V23084,False,2,False,0,,59V230884,1,full_z0.85_up2_train_baseline,71,59,1.2033898305084745,d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\other\greenpack_0459_p01_01.png,D:\NEO\LPR\parseq_official_pipeline\outputs\testing\irrecoverable_wrong_images_8pipelines\11_target_59V200884_pred_59V23084_err_2.png
greenpack_0486_p01_01.png,B537011,QB537011,HB537011,False,1,True,4,full_z1.15_up2_train_baseline;full_z1.15_up2_clahe_clip1_tile4;full_z1.15_up3_clahe_clip1_tile4;full_z1.15_up3_clahe_rl_deblur_bilateral,B537011,0,full_z1.15_up3_clahe_clip1_tile4,78,69,1.1304347826086956,d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\other\greenpack_0486_p01_01.png,D:\NEO\LPR\parseq_official_pipeline\outputs\testing\irrecoverable_wrong_images_8pipelines\12_target_B537011_pred_QB537011_err_1.png
greenpack_0489_p01_01.png,59Y164831,59Y104831,59Y104831,False,1,True,32,full_z1.07_up2_train_baseline;full_z1.07_up2_clahe_clip1_tile4;full_z1.07_up2_clahe_rl_deblur_bilateral;full_z1.07_up2_adaptive_noise_3way;unwrap_z0.93_up2_train_baseline;unwrap_z0.93_up2_clahe_clip1_tile4;unwrap_z0.93_up2_clahe_rl_deblur_bilateral;unwrap_z0.93_up2_adaptive_noise_3way;unwrap_z1.00_up2_train_baseline;unwrap_z1.00_up2_clahe_clip1_tile4;unwrap_z1.00_up2_clahe_rl_deblur_bilateral;unwrap_z1.00_up2_adaptive_noise_3way;unwrap_z1.07_up2_train_baseline;unwrap_z1.07_up2_clahe_clip1_tile4;unwrap_z1.07_up2_clahe_rl_deblur_bilateral;unwrap_z1.07_up2_adaptive_noise_3way;full_z1.07_up3_train_baseline;full_z1.07_up3_clahe_clip1_tile4;full_z1.07_up3_clahe_rl_deblur_bilateral;full_z1.07_up3_adaptive_noise_3way;unwrap_z0.93_up3_train_baseline;unwrap_z0.93_up3_clahe_clip1_tile4;unwrap_z0.93_up3_clahe_rl_deblur_bilateral;unwrap_z0.93_up3_adaptive_noise_3way;unwrap_z1.00_up3_train_baseline;unwrap_z1.00_up3_clahe_clip1_tile4;unwrap_z1.00_up3_clahe_rl_deblur_bilateral;unwrap_z1.00_up3_adaptive_noise_3way;unwrap_z1.07_up3_train_baseline;unwrap_z1.07_up3_clahe_clip1_tile4;unwrap_z1.07_up3_clahe_rl_deblur_bilateral;unwrap_z1.07_up3_adaptive_noise_3way,59Y164831,0,unwrap_z1.07_up2_adaptive_noise_3way,74,60,1.2333333333333334,d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\other\greenpack_0489_p01_01.png,D:\NEO\LPR\parseq_official_pipeline\outputs\testing\irrecoverable_wrong_images_8pipelines\13_target_59Y164831_pred_59Y104831_err_1.png
greenpack_0640_p01_01.png,86B621890,868621890,868621890,False,1,False,0,,868621890,1,unwrap_z0.93_up2_adaptive_noise_3way,85,73,1.1643835616438356,d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\other\greenpack_0640_p01_01.png,D:\NEO\LPR\parseq_official_pipeline\outputs\testing\irrecoverable_wrong_images_8pipelines\14_target_86B621890_pred_868621890_err_1.png
greenpack_1333_p01_01.png,59M148700,59M143700,59M143700,False,1,True,1,unwrap_z1.07_up2_adaptive_noise_3way,59M148700,0,unwrap_z1.07_up2_adaptive_noise_3way,84,72,1.1666666666666667,d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\other\greenpack_1333_p01_01.png,D:\NEO\LPR\parseq_official_pipeline\outputs\testing\irrecoverable_wrong_images_8pipelines\15_target_59M148700_pred_59M143700_err_1.png
greenpack_1416_p01_01.png,60DU29890,60U29890,60U29890,False,1,False,0,,60U29890,1,unwrap_z1.07_up2_adaptive_noise_3way,77,71,1.0845070422535212,d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\other\greenpack_1416_p01_01.png,D:\NEO\LPR\parseq_official_pipeline\outputs\testing\irrecoverable_wrong_images_8pipelines\16_target_60DU29890_pred_60U29890_err_1.png
Dieu_0347_p01_01.png,5E06365,50E06365,50E06365,False,1,False,0,,50E06365,1,full_z0.85_up3_adaptive_noise_3way,123,58,2.1206896551724137,d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\yellow\Dieu_0347_p01_01.png,D:\NEO\LPR\parseq_official_pipeline\outputs\testing\irrecoverable_wrong_images_8pipelines\17_target_5E06365_pred_50E06365_err_1.png
Hung_0017_p02_02.png,61C1319,61C13129,61C13129,False,1,False,0,,61C13129,1,unwrap_z1.00_up3_adaptive_noise_3way,53,36,1.4722222222222223,d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\yellow\Hung_0017_p02_02.png,D:\NEO\LPR\parseq_official_pipeline\outputs\testing\irrecoverable_wrong_images_8pipelines\18_target_61C1319_pred_61C13129_err_1.png
general_000648_quandoi.jpg,B1708,BP1708,BP1708,False,1,False,0,,BP1708,1,unwrap_z1.07_up3_adaptive_noise_3way,49,55,0.8909090909090909,d:\NEO\LPR\parseq_official_pipeline\dataset\update_label\labled_quandoi\images\test\general_000648_quandoi.jpg,D:\NEO\LPR\parseq_official_pipeline\outputs\testing\irrecoverable_wrong_images_8pipelines\19_target_B1708_pred_BP1708_err_1.jpg
general_000663_quandoi.jpg,TH3077,TM3077,TM3077,False,1,True,2,full_z1.00_up2_train_baseline;unwrap_z1.00_up2_train_baseline,TH3077,0,full_z1.00_up2_train_baseline,41,14,2.9285714285714284,d:\NEO\LPR\parseq_official_pipeline\dataset\update_label\labled_quandoi\images\test\general_000663_quandoi.jpg,D:\NEO\LPR\parseq_official_pipeline\outputs\testing\irrecoverable_wrong_images_8pipelines\20_target_TH3077_pred_TM3077_err_1.jpg
general_000679_quandoi.jpg,BH520,BH5240,BH5240,False,1,False,0,,BH5240,1,full_z1.07_up2_clahe_clip1_tile4,54,23,2.347826086956522,d:\NEO\LPR\parseq_official_pipeline\dataset\update_label\labled_quandoi\images\test\general_000679_quandoi.jpg,D:\NEO\LPR\parseq_official_pipeline\outputs\testing\irrecoverable_wrong_images_8pipelines\21_target_BH520_pred_BH5240_err_1.jpg
